XP1,XP2,XP3,XP4,XP5
22815.43,14682.68,7965.43,4563.09,3486.77
22747.42,14743.68,7982.59,4549.48,3488.85
22156.2,14787.07,7994.16,4431.24,3448.89
21737.02,14800.07,7997.51,4347.4,3444.68
22042.56,14862.75,8013.01,4408.51,3462.43
21984.47,15180.26,8089.31,4396.89,3501.56
22211.19,15334.21,8125.13,4442.24,3535.16
22751.32,15359.17,8130.95,4550.26,3490.4
23144.73,14594.34,7948.03,4628.95,3453.99
23304.07,14608.05,7951.59,4660.81,3477.66
23403.87,14707.16,7978.32,4680.77,3501.33
23351.68,14819.3,8009.88,4670.34,3505.92
23812.95,14874.21,8025.55,4762.59,3535.93
23972.73,14901.62,8033.51,4794.55,3506.24
23660.82,14428.89,7895.32,4732.16,3514.29
23623.78,14808.61,8007.92,4724.76,3574.3
23193.59,14885.38,8030.81,4638.72,3641.61
23148.38,14984.63,8059.84,4629.68,3613.01
22582.24,15204.51,8123.49,4516.45,3675.98
22842.89,15324.66,8159.23,4568.58,3744.56
22727.4,14773.77,7989.98,4545.48,3649.12
22657.55,14520.17,7908.91,4531.51,3628.77
22631.32,14744.07,7980.78,4526.26,3495.12
22748.7,15184.48,8118.57,4549.74,3498.18
22875.27,15064.98,8082.53,4575.05,3321.95
22974,15175.02,8115.66,4594.8,3330.5
22883.72,15736.19,8287.79,4576.74,3350.35
22663.36,15675.36,8268.98,4532.67,3307.76
22600.94,16141.41,8419.45,4520.19,3365.01
22648.55,15957.91,8357.43,4529.71,3348.11
22505.76,15692.04,8261.65,4501.15,3418.47
22492.31,15621.79,8234.41,4498.46,3352.31
22239.33,15500.75,8183.28,4447.87,3471.96
22237.29,15742.25,8288.77,4447.46,3411.42
22270.24,15559.74,8207.12,4454.05,3433.88
22227.72,15334.63,8108.17,4445.54,3352.36
22179.85,15428.92,8149.27,4435.97,3360.97
22750.48,15912.6,8355.75,4550.1,3353.39
23001.13,15814.7,8314.88,4600.23,3487.54
23348.43,15581.48,8220.55,4669.69,3558.86
23086.71,15464.8,8174.86,4617.34,3582.16
23130.28,15339.34,8126.9,4626.06,3616.8
23420.13,15373.52,8140.08,4684.03,3564.53
23404.6,15357.43,8133.79,4680.92,3487.18
22812.7,15280,8104.37,4562.54,3498.52
22901.88,14887.67,7959.1,4580.38,3402.65
22441.28,14718.88,7899.08,4488.26,3296.95
22212.67,14304.67,7753.1,4442.53,3232.89
22578.31,14220.18,7722.46,4515.66,3241.09
22733.01,14029.06,7649.86,4546.6,3254.99
23002.82,13983.07,7631.71,4600.56,3306.9
23081.85,13919.33,7605.73,4616.37,3217.47
23050.28,14167.86,7711.71,4610.06,3230.19
22784.24,13803.95,7551.84,4556.85,3156.14
23248.94,13605.75,7458.3,4649.79,3105.57
23261.17,13331.13,7321.24,4652.23,3088.68
23046.99,13290.56,7299.59,4609.4,3085.67
23309.54,13374.9,7347.51,4661.91,3078.07
23668.51,13944.51,7685.67,4733.7,3016.9
24424.47,14142.28,7807.39,4884.89,3037.93
24172.12,14258.6,7878.71,4834.42,3027.53
24015.04,14284.81,7894.74,4803.01,3062.44
23861.21,14219.8,7854.95,4772.24,3025.46
23730.53,14378.16,7950.65,4746.11,2929.62
23614.06,14828.65,8216.07,4722.81,2968.98
23516.06,14951.39,8286.93,4703.21,3016.06
23930.32,15361.83,8519.99,4786.06,3050.27
23756.45,15833.96,8792.46,4751.29,3137.11
23664.52,15704.95,8716.35,4732.9,3157.79
23840.47,15614.13,8662.48,4768.09,3126.68
24155.57,15479.78,8583.64,4831.11,3114.33
23943.42,15599.34,8653.87,4788.68,3111.6
23792.68,15485.23,8584.71,4758.54,3114.36
23943.86,15235.26,8423.23,4788.77,3091.31
24240.71,15703.54,8745.62,4848.14,3090.82
24164.86,15483.89,8589.75,4832.97,3126.57
23678.09,15389.35,8520.3,4735.62,3108.56
24331.94,15213.58,8387.64,4866.39,3115.2
24973.96,15360.89,8499.68,4994.79,3099.65
24616.17,15366.84,8504.15,4923.23,3064.49
24583.12,15426.86,8548.54,4916.62,3069.06
23518.09,15372.4,8508.02,4703.62,3072.04
23914.75,15378.05,8512.09,4782.95,3065.1
25180.86,15060.19,8286.87,5036.17,3050.77
23901.36,14795.01,8100.28,4780.27,3051.85
23396.45,14862.7,8146.47,4679.29,2989.27
22992.19,15302.16,8446.97,4598.44,2988.48
22602.64,15029.18,8258.1,4520.53,3006.04
21451.53,15002.19,8239.5,4290.31,3039.38
21701.01,14821.83,8116.54,4340.2,3122.34
20869.18,15062.24,8283.51,4173.84,3074.85
20853.27,15552.54,8627.59,4170.65,3042.03
21256.08,15239.64,8405.43,4251.22,3099.9
21113.23,15415.76,8534.08,4222.65,3106.19
21731.53,15425.85,8541.81,4346.31,3125.63
21709.48,15324.96,8462.35,4341.9,3135.37
21182.7,15395.96,8520.38,4236.54,3105.06
21747.68,15317.06,8456.32,4349.54,3112.97
21312.37,15342.29,8476.29,4262.47,3095.51
22994.79,15464.07,8569.59,4598.96,3124.92
22981.94,15714.63,8757.15,4596.39,3168.32
23544.68,15426.78,8547.26,4708.94,3183.6
23685.89,15651,8704.97,4737.18,3241.72
21909.36,15442.19,8559.06,4381.87,3308.82
21266.88,15118.81,8336.29,4253.38,3315.52
21057.69,14592.45,7983.88,4211.54,3304.27
21143.66,14755.78,8087.49,4228.73,3264.57
20271.47,15234.87,8379.76,4054.29,3266.37
20604.53,15238,8381.61,4120.91,3235.55
20405.67,14856.89,8161.71,4081.13,3233.8
20158.42,14987.94,8236.14,4031.68,3213.96
19650.35,14712.8,8077.19,3930.07,3239.03
19175.49,15034.11,8265.68,3835.1,3272.68
19193.66,14728.92,8079.76,3838.73,3220.75
19349.39,14725.09,8077.39,3869.88,3203.03
18684.7,14798.75,8122.77,3736.94,3210.77
18331.55,15578.9,8604.91,3666.31,3185.41
18527.83,15603.42,8620.13,3705.57,3173.16
18334.86,15769.93,8724.77,3666.97,3172.13
19208.19,15929.3,8827.35,3841.64,3197.41
19758.18,15774.28,8724.71,3951.64,3210.9
20037.88,15502.52,8535.23,4007.58,3233.33
20040,16410.86,9219.09,4008,3209.78
20150.29,16678.64,9444.61,4030.06,3210.19
19815.45,16543.55,9318.75,3963.09,3188.56
20080.37,16771.04,9538.57,4016.07,3244.95
20767.41,17285.01,10051.5,4153.48,3220.86
21265.34,17564.84,10340.02,4253.07,3188.44
20927.46,17780.76,10560.28,4185.49,3144.22
20364.51,17796.65,10576.41,4072.9,3157.73
20331.63,17408.3,10181.12,4066.33,3134.29
20440.84,17405.5,10178.22,4088.17,3118.63
20753.51,18044.85,10848.32,4150.7,3154.5
20405.51,17722.93,10497.33,4081.1,3170.44
20495.89,18051.35,10846.12,4099.18,3219.68
20566.16,17883.94,10667.24,4113.23,3263
20922.6,17238.71,9998.18,4184.52,3233.94
20914.83,16840.04,9598.6,4182.97,3161.22
20817.18,16826.58,9585.06,4163.44,3093.2
20519.64,17349.71,10115.04,4103.93,3108.97
20391.27,17687.14,10473.98,4078.25,3009.21
20300.06,18086.13,10922.53,4060.01,2981.88
20903.01,18543.29,11495.29,4180.6,2964.82
21609.47,18357.57,11239.32,4321.89,2914.65
21556.48,18951.12,12078.78,4311.3,2891.94
21196.77,18706.43,11709.11,4239.35,2942.83
20518.19,18278.91,11054.15,4103.64,2946.98
20676.38,18196.1,10932.56,4135.28,2915.56
20321.36,18746.41,11738.14,4064.27,2910.4
21084.88,18111.45,10761.87,4216.98,2932.08
20789.9,18114.98,10766.76,4157.98,2895.1
20825.08,18613.89,11450.78,4165.02,2913.57
22178.63,18523.39,11327.25,4435.73,2885.18
21699.74,18724.47,11584.44,4339.95,2912
21830.1,18391.75,11182.6,4366.02,2907.79
21380.1,18168.2,10933.41,4276.02,2899.8
21542.4,17956.03,10718.58,4308.48,2876.19
21184.73,17940.09,10703.59,4236.95,2848.18
21212.95,17409.46,10227.48,4242.59,2775.35
21095.06,17082.91,9949.63,4219.01,2742.48
20671.79,17104.83,9967.69,4134.36,2677.13
20676.11,17149.77,10004.13,4135.22,2693.06
21019.65,17199.83,10043.37,4203.93,2681.05
