"YYYYMM","ShadowRate","TermPremium-2Y","TermPremium-5Y","TermPremium-7Y","TermPremium-10Y","TermPremium-15Y","TermPremium-20Y","ExpectedRate-2Y","ExpectedRate-5Y","ExpectedRate-7Y","ExpectedRate-10Y","ExpectedRate-15Y","ExpectedRate-20Y"
201205,-2.2818,0.0034,0.1385,0.3303,0.5848,0.7853,0.7644,0.1,0.1116,0.1568,0.2894,0.5879,0.8876
201206,-2.3563,0,0.1118,0.2895,0.5646,0.7865,0.795,0.1,0.1097,0.1507,0.2769,0.5696,0.8676
201207,-2.4169,-1e-04,0.0842,0.2455,0.5109,0.7292,0.7444,0.1,0.1083,0.1462,0.2673,0.5551,0.8515
201208,-2.4311,-0.0039,0.1086,0.2949,0.5496,0.7729,0.7807,0.1,0.1081,0.1453,0.2655,0.5526,0.8489
201209,-2.4455,-0.0019,0.1012,0.2871,0.5345,0.7796,0.8121,0.1,0.1078,0.1444,0.2636,0.5498,0.8458
201210,-2.4612,-5e-04,0.0914,0.2701,0.5147,0.7714,0.8312,0.1,0.1075,0.1433,0.2612,0.5461,0.8418
201211,-2.4731,-0.0021,0.0878,0.2512,0.4962,0.7599,0.84,0.1,0.1073,0.1425,0.2593,0.5431,0.8383
201212,-2.4776,-0.0022,0.0691,0.2369,0.4791,0.7615,0.8686,0.1,0.1072,0.1421,0.2583,0.5414,0.8363
201301,-2.4705,-0.0167,0.0638,0.2621,0.5189,0.8035,0.9256,0.1,0.1072,0.1424,0.2588,0.542,0.8367
201302,-2.4809,-0.0544,0.0365,0.2462,0.4986,0.776,0.9125,0.1,0.107,0.1413,0.2562,0.5372,0.8309
201303,-2.499,-0.0575,0.01,0.143,0.3528,0.5884,0.7317,0.1,0.1066,0.1395,0.2518,0.5295,0.8214
201304,-2.4339,0.0076,0.1069,0.213,0.3152,0.4828,0.5867,0.1,0.1077,0.1435,0.2605,0.5427,0.8357
201305,-2.2976,0.0259,0.24,0.4025,0.5044,0.665,0.7433,0.1,0.1108,0.1539,0.2826,0.576,0.8728
201306,-2.2191,0.0292,0.2146,0.4196,0.5493,0.7122,0.788,0.1,0.113,0.1607,0.2959,0.5954,0.8939
201307,-2.1968,0.0296,0.1893,0.3846,0.5273,0.6997,0.823,0.1,0.1137,0.1624,0.2992,0.5996,0.8982
201308,-2.2132,0.0117,0.1759,0.3353,0.4662,0.6721,0.7941,0.1,0.113,0.1604,0.295,0.5931,0.8906
201309,-2.2573,0.0116,0.1508,0.2958,0.4354,0.6236,0.7697,0.1,0.1116,0.156,0.2859,0.5793,0.8749
201310,-2.3201,-0.0018,0.1077,0.2259,0.3624,0.5293,0.6658,0.1,0.1098,0.1503,0.274,0.5608,0.854
201311,-2.354,-0.0069,0.0921,0.2175,0.3498,0.5084,0.6741,0.1,0.1089,0.1474,0.2676,0.5508,0.8424
201312,-2.3618,-0.0078,0.0973,0.2625,0.4033,0.5363,0.7092,0.1,0.1087,0.1466,0.2658,0.5478,0.8388
201401,-2.377,-0.0097,0.0997,0.2534,0.4036,0.5231,0.6912,0.1,0.1083,0.1453,0.2628,0.543,0.8332
201402,-2.4029,-0.0229,0.0821,0.2017,0.3482,0.4771,0.6486,0.1,0.1078,0.1433,0.2582,0.5355,0.8246
201403,-2.4144,-0.0235,0.0845,0.1987,0.3587,0.4888,0.6665,0.1,0.1075,0.1423,0.2561,0.532,0.8205
201404,-2.4226,-0.014,0.0845,0.2059,0.3616,0.5017,0.6687,0.1,0.1073,0.1417,0.2545,0.5294,0.8174
201405,-2.4379,-0.0151,0.0832,0.1974,0.3528,0.5018,0.6592,0.1,0.107,0.1405,0.2519,0.5251,0.8124
201406,-2.4641,-0.0163,0.0723,0.1752,0.3397,0.4982,0.6528,0.1,0.1065,0.1387,0.2476,0.5181,0.8042
201407,-2.501,-0.0327,0.0479,0.1414,0.3036,0.4679,0.6252,0.1,0.1059,0.1362,0.2417,0.5084,0.7929
201408,-2.5347,-0.029,0.0505,0.1323,0.2853,0.4493,0.5997,0.1,0.1053,0.134,0.2365,0.4996,0.7826
201409,-2.568,-0.0272,0.0646,0.1472,0.303,0.467,0.607,0.1,0.1048,0.132,0.2314,0.4909,0.7724
201410,-2.6241,-0.0612,0.0322,0.1088,0.2684,0.435,0.5805,0.1,0.1041,0.1289,0.2234,0.477,0.7559
201411,-2.6927,-0.0809,0.0251,0.1119,0.2619,0.4018,0.5221,0.1,0.1034,0.1254,0.2141,0.4605,0.7361
201412,-2.7764,-0.1099,-0.0415,0.0114,0.1754,0.3101,0.4393,0.1,0.1026,0.1216,0.2035,0.4412,0.7127
201501,-2.8308,-0.1191,-0.0792,-0.0492,0.0718,0.1863,0.294,0.1,0.1022,0.1194,0.1969,0.4286,0.6972
201502,-2.8137,-0.0673,0.0035,0.0401,0.1804,0.3437,0.4799,0.1,0.1023,0.1199,0.1984,0.4313,0.7004
201503,-2.8011,-0.0804,0.0019,0.0244,0.1749,0.3345,0.4641,0.1,0.1024,0.1203,0.1995,0.433,0.7022
