XP1,XP2,XP3
8657.26,6343.37,4830.22
8521.12,6352.47,4785.93
8460.04,6360.17,4767.61
8344.98,6304.59,4674.35
8151.22,6414.05,4526.63
8354.59,6326.51,4611.17
8389.29,6325.42,4624.44
8394.86,6294.17,4589.93
8480.08,6389.85,4638.83
8437.02,6452.7,4603.01
8355.13,6418.05,4525.64
8110.13,6429.68,4388.03
8118.54,6490.08,4405.86
8033.78,6610.39,4348.62
8059.21,6631.32,4361.38
8024.92,6566.37,4391.76
8032.32,6506.42,4395.36
8341.41,6625.18,4552.58
8321.69,6476.2,4558.99
8155.45,6733.02,4483.99
8022.89,6699.46,4394.1
8036.09,6649.59,4399.78
7794.14,6664.63,4258.02
7734.14,6742.1,4216.07
7572.8,6766.16,4113.36
7660.89,6627.92,4150.76
7969.37,6656.52,4313.26
7890.17,6688.96,4258.9
7999.47,6732.08,4322.2
7543.8,6668.78,4062.05
7598.25,6526.1,4068.58
7403.96,6501.43,3975.59
7590,6437.89,4073.5
7484.5,6388.76,3985.55
7497.32,6331.51,3977.67
7294.91,6308.44,3910.38
7138.3,6291.94,3817.8
7038.42,6330.9,3757.55
6909.86,6378.5,3689.89
6945.57,6339.52,3703.55
7152.99,6324.74,3820.32
7339.88,6341.02,3921.51
7230.5,6401.5,3905.54
7505.17,6398.81,4054.63
7638.19,6322.43,4112.46
7711.55,6334.34,4178.55
7509.83,6328.66,4104.86
7687.78,6407.81,4205.41
7526.15,6426,4088.26
7120.47,6395.24,3844.47
7294.23,6374.44,3948.29
7149.85,6351.68,3871.5
7278.22,6359.77,3958.84
7665.9,6367.13,4130.86
7430.67,6404.17,3972.22
7332.51,6417.66,3923.62
7369.97,6402.59,3957.65
7091.45,6364.74,3813.3
7097.94,6391.2,3818.24
7103.63,6388.59,3801.49
6947.79,6395.97,3707.61
6950.92,6439.54,3700.2
6842.33,6514.07,3658.73
6572.52,6465.68,3490.89
6544.4,6548.52,3468.63
6502.97,6498.67,3446.58
6479.23,6513.43,3425.44
6571.09,6524.8,3475.97
6183.66,6511.57,3262.13
5880.21,6574.56,3114.9
5836.88,6541.65,3113.73
5692.32,6573.45,3042.26
5528.54,6572.83,2938.47
5284.11,6531.29,2801.35
5277.77,6586.37,2814.27
5512.87,6484.91,2923.12
5221.6,6453.69,2762.95
5058.54,6369.25,2660.25
5046.27,6380.74,2652.81
4825.23,6394.93,2544.74
4842.55,6339.38,2547.12
4665.35,6372.27,2457.92
4940.46,6321.93,2606.58
4923.49,6354.29,2599.1
4846.93,6365.62,2547.18
4653.63,6397.74,2444.33
4463.5,6355.86,2351.39
4270.39,6360.16,2232.07
4326.08,6340.32,2270.12
4399.98,6279.08,2319.24
4275.73,6286.14,2261.36
4418.7,6363.54,2329.55
4408.79,6329.91,2336.01
4141.44,6320.06,2185.6
4253.57,6351.73,2253.53
4246.48,6353.37,2243.62
4463.84,6436.7,2344.69
4443.11,6475.74,2318.33
4515.02,6594.97,2352.29
4420.47,6618.53,2317.09
4545.16,6549.21,2362.9
4588.79,6574.83,2407.27
4583.82,6523.02,2416.47
4734.02,6468,2507.59
4789.68,6457.77,2552.78
4672.51,6504.18,2496.55
4832.5,6521.39,2581.9
4854.05,6559.85,2599.15
5067.44,6603.13,2703.19
5143.71,6594.88,2778.96
5152.72,6485.96,2784.5
