P1,P2
8201.89,6300.24
8421.29,6411.2
8616.16,6465.25
8550.01,6355.28
8543.84,6238.16
8526.66,6275.29
8506.07,6263.42
8294.57,6321.54
8486.5,6338.98
8657.26,6343.37
8521.12,6352.47
8460.04,6360.17
8344.98,6304.59
8151.22,6414.05
8354.59,6326.51
8389.29,6325.42
8394.86,6294.17
8480.08,6389.85
8437.02,6452.7
8355.13,6418.05
8110.13,6429.68
8118.54,6490.08
8033.78,6610.39
8059.21,6631.32
8024.92,6566.37
8032.32,6506.42
8341.41,6625.18
8321.69,6476.2
8155.45,6733.02
8022.89,6699.46
8036.09,6649.59
7794.14,6664.63
7734.14,6742.1
7572.8,6766.16
7660.89,6627.92
7969.37,6656.52
7890.17,6688.96
7999.47,6732.08
7543.8,6668.78
7598.25,6526.1
7403.96,6501.43
7590,6437.89
7484.5,6388.76
7497.32,6331.51
7294.91,6308.44
7138.3,6291.94
7038.42,6330.9
6909.86,6378.5
6945.57,6339.52
7152.99,6324.74
7339.88,6341.02
7230.5,6401.5
7505.17,6398.81
7638.19,6322.43
7711.55,6334.34
7509.83,6328.66
7687.78,6407.81
7526.15,6426
7120.47,6395.24
7294.23,6374.44
7149.85,6351.68
7278.22,6359.77
7665.9,6367.13
7430.67,6404.17
7332.51,6417.66
7369.97,6402.59
7091.45,6364.74
7097.94,6391.2
7103.63,6388.59
6947.79,6395.97
6950.92,6439.54
6842.33,6514.07
6572.52,6465.68
6544.4,6548.52
6502.97,6498.67
6479.23,6513.43
6571.09,6524.8
6183.66,6511.57
5880.21,6574.56
5836.88,6541.65
5692.32,6573.45
5528.54,6572.83
5284.11,6531.29
5277.77,6586.37
5512.87,6484.91
5221.6,6453.69
5058.54,6369.25
5046.27,6380.74
4825.23,6394.93
4842.55,6339.38
4665.35,6372.27
4940.46,6321.93
4923.49,6354.29
4846.93,6365.62
4653.63,6397.74
4463.5,6355.86
4270.39,6360.16
4326.08,6340.32
4399.98,6279.08
4275.73,6286.14
4418.7,6363.54
4408.79,6329.91
4141.44,6320.06
4253.57,6351.73
4246.48,6353.37
4463.84,6436.7
4443.11,6475.74
4515.02,6594.97
4420.47,6618.53
4545.16,6549.21
4588.79,6574.83
4583.82,6523.02
4734.02,6468
4789.68,6457.77
4672.51,6504.18
4832.5,6521.39
4854.05,6559.85
5067.44,6603.13
5143.71,6594.88
5152.72,6485.96
5110.18,6533.27
5295.09,6657.45
5297.85,6661.67
5217.24,6574.81
5182.07,6550.6
5257.03,6495.08
5293.02,6492.68
5319.6,6528.04
5507.84,6571.8
5429.59,6583.64
5493.38,6539.49
5424.52,6578.15
5463.5,6642.24
5363.11,6758.85
5742.48,6725.69
5670.3,6754.7
5609.11,6822.51
5580.32,6815.65
5717.78,6843.9
5491.15,6854.91
5455.47,6848.41
5504.74,6856.15
5511.47,6898.84
5594.03,6917.76
5832.21,6896.69
5830.4,6797.52
5961.78,6752.34
6261.04,6751.25
6126.2,6624.35
6153.91,6772.35
6164.03,6646.28
6154.76,6545.27
6009.64,6667.7
5962.25,6473.04
5958.2,6550.51
6113.65,6517.46
6064.25,6555.56
5898.52,6621.24
5875.19,6552.83
5716.55,6504.91
5761.62,6316.75
5601.15,6230.74
5747.25,6262.37
5857.55,6299.62
5896.51,6435
6061.5,6440.22
5931,6473.02
6097.54,6477.82
5996.13,6449.81
5982.03,6489.65
5659.53,6513.63
5605.42,6519.97
5483.79,6482.51
5424.59,6480.68
5371.4,6514.57
5284.77,6544.28
5355.79,6523.11
5510.95,6494.48
5434.75,6516.32
5224.35,6560.51
5349.33,6565.91
5396.8,6552.51
5360.71,6515.87
5552.88,6497.97
5292.03,6436.15
5479.44,6403.67
5663.82,6455.31
5544.96,6508.6
5577.53,6465.14
5523.54,6475.5
5405.48,6478.71
5486.99,6405.93
5311.3,6446.46
5099.61,6352.07
5011.98,6279.83
5132.05,6338.51
4871.43,6307.01
4870.34,6295.37
4969.14,6215.3
5082.33,6136.02
5247.87,6156.27
5107.32,6147.06
5129.48,6118.46
5223.53,6057.09
5283.91,6003.64
5372.67,6103.66
5546.02,6083.88
5609.16,6126.14
5709.33,6167.4
5759.87,6206.31
5821.09,6220.92
5949.46,6162.89
5917.89,6113.94
5985.51,6150.34
6190.93,6088.39
